episode_id,window_start,window_end,kpi,slice,candidate_id,driver_type,ladder,null_episode,n_candidates,heuristic_score,feature_snapshot_id,label,share_abs,share_signed,share_shift_abs,dim_surprise,exposure_depth,is_arithmetic_identity,graph_path_len,mechanism_lag_days,driver_type_service_failure,driver_type_external_market,driver_type_price_change,driver_type_mix_shift,driver_type_instrumentation,precedence_present,precedence_consistent,lag_alignment,gap_days_norm,dose_present,dose_rho,dose_p_neglog10,dose_monotone,dose_buckets,corrob_on_theme_log,corrob_independent_types,corrob_distinct_accounts_log,corrob_conflict_ratio,corrob_evidence_withheld,did_present,did_effect_abs,did_tstat_abs,did_p_neglog10,did_placebo_abs,did_parallel_trends_ok,did_n_days_post_log,movement_z_abs,movement_pct_abs,movement_history_days_log,movement_sparse,movement_dq_flags,feed_stale,n_candidates_log,analyst_prior_weight
EP-0361,2021-04-13,2021-04-26,net_revenue,"{""channel"": ""ModernTrade"", ""region"": ""South""}",H-SLA,service_failure,L0,0,3,0.10210241525944462,2e05bfec476e4ebe,0,0.5105120762972231,0.5105120762972231,0.0,0.0,1.0,0.0,6.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.04207499766943832,0.23712141783634508,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.049194341923559426,0.9904951332937363,0.49223562741865634,0.05413392820133578,0.0,2.70805020110221,0.3404131991283742,0.015510088974822029,4.770684624465665,0.0,0.0,0.0,1.0986122886681098,1.0
EP-0361,2021-04-13,2021-04-26,net_revenue,"{""channel"": ""ModernTrade"", ""region"": ""South""}",H-MIX,mix_shift,L3,0,3,0.7401456703209964,a0a1b3d4e11006d9,1,0.8707596121423488,0.8707596121423488,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3404131991283742,0.015510088974822029,4.770684624465665,0.0,0.0,0.0,1.0986122886681098,1.0
EP-0361,2021-04-13,2021-04-26,net_revenue,"{""channel"": ""ModernTrade"", ""region"": ""South""}",H-COMP-MKH-0001,external_market,L3,0,3,0.017,5562ff80f8360063,0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.7272727272727273,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,1.3862943611198906,3.0,1.0986122886681098,0.25,0.0,1.0,0.4158443382273329,4.717486783789075,5.622009497782261,0.1154148345599848,1.0,2.70805020110221,0.3404131991283742,0.015510088974822029,4.770684624465665,0.0,0.0,0.0,1.0986122886681098,1.0
EP-0421,2021-04-13,2021-04-26,net_revenue,"{""channel"": ""Ecommerce"", ""region"": ""South""}",H-SLA,service_failure,L0,1,2,0.20256827478472925,63fb79a315cf13aa,0,1.0128413739236461,1.0128413739236461,0.0015645259719776483,1.9122251780778895e-05,1.0,0.0,6.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.04207499766943832,0.23712141783634508,0.0,4.0,1.0986122886681098,2.0,0.6931471805599453,0.0,0.0,1.0,0.033489756306899876,0.8977680002619388,0.4326098169519041,0.031800274271912565,1.0,2.70805020110221,1.051030639534932,0.05512506271508098,4.770684624465665,0.0,0.0,0.0,0.6931471805599453,1.0
EP-0421,2021-04-13,2021-04-26,net_revenue,"{""channel"": ""Ecommerce"", ""region"": ""South""}",H-COMP-MKH-0001,external_market,L3,1,2,0.017,81c31a2847f8c141,0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.8181818181818181,0.1,0.0,0.0,0.0,0.0,0.0,1.3862943611198906,3.0,1.0986122886681098,0.25,0.0,1.0,0.4158443382273329,4.717486783789075,5.622009497782261,0.1154148345599848,1.0,2.70805020110221,1.051030639534932,0.05512506271508098,4.770684624465665,0.0,0.0,0.0,0.6931471805599453,1.0
EP-0721,2021-04-13,2021-04-26,net_revenue,"{""channel"": ""Direct"", ""region"": ""West""}",H-SLA,service_failure,L0,1,3,0.21481603152926337,12245e647e26d3d8,0,1.0740801576463168,1.0740801576463168,0.011213634818690976,0.000391613619758549,1.0,0.0,6.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.04207499766943832,0.23712141783634508,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.049194341923559426,0.9904951332937363,0.49223562741865634,0.05413392820133578,0.0,2.70805020110221,0.2835342087669191,0.024142563168111676,4.770684624465665,0.0,0.0,0.0,1.0986122886681098,1.0
EP-0721,2021-04-13,2021-04-26,net_revenue,"{""channel"": ""Direct"", ""region"": ""West""}",H-MIX,mix_shift,L3,1,3,0.11760311071778248,c77548ab4f65500c,0,0.13835660084444998,0.13835660084444998,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2835342087669191,0.024142563168111676,4.770684624465665,0.0,0.0,0.0,1.0986122886681098,1.0
EP-0721,2021-04-13,2021-04-26,net_revenue,"{""channel"": ""Direct"", ""region"": ""West""}",H-COMP-MKD-0011,external_market,L1,1,3,0.008,a6519af54c1dc73c,0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.9090909090909091,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.04112326062187377,0.41639568171031216,0.16933404543132383,0.02774300939943014,1.0,2.70805020110221,0.2835342087669191,0.024142563168111676,4.770684624465665,0.0,0.0,0.0,1.0986122886681098,1.0
EP-0601,2021-04-14,2021-04-27,order_volume,"{""channel"": ""ModernTrade"", ""region"": ""East""}",H-SLA,service_failure,L2,0,2,0.9939723995340907,c81ab01784436943,0,1.529188306975524,1.529188306975524,0.025361411811443246,0.00034172836042646853,1.0,0.0,5.0,10.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.8,0.4666666666666667,1.0,0.0155253647653341,0.07678009465188335,0.0,4.0,1.3862943611198906,3.0,1.3862943611198906,0.0,0.0,1.0,0.01066527649026816,0.1547237649418123,0.05698104758798954,0.10358363726087805,0.0,2.70805020110221,0.585173972769619,0.022024429597881097,4.77912349311153,0.0,0.0,0.0,0.6931471805599453,1.0
EP-0601,2021-04-14,2021-04-27,order_volume,"{""channel"": ""ModernTrade"", ""region"": ""East""}",H-PRICE,price_change,L2,0,2,0.013000000000000001,5f0335402ab154cb,1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.1333333333333333,0.0,0.0,0.0,0.0,0.0,1.9459101490553132,4.0,1.9459101490553132,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.585173972769619,0.022024429597881097,4.77912349311153,0.0,0.0,0.0,0.6931471805599453,1.0
